id,nombre,categoria,cantidad,unidad,precio_unitario,valor_total,fecha_compra,lote,proveedor
inv-1768953803936-gz1gyesjb,Café Sello Rojo,insumos para café,245,Gramo,26800,26800,2026-01-19,TIENDAESQUINA-20260119-001,tienda de la esquina
inv-1768697003637-rorpdal9v,Café La Jacoba,insumos para café,1,Paquete,37000,37000,2026-01-12,PROVEEDORCAFE-20260112-001,Proveedor Café
inv-1768697002395-12wwfyhfb,Café especial Buesaco,insumos para café,1,Paquete,37000,37000,2026-01-12,PROVEEDORCAFE-20260112-001,Proveedor Café
inv-1767842689907-lirxhpibc,Guantes nitrilo negro,productos de limpieza / bioseguridad,1,Unidad,1500,1500,2026-01-08,A2SAS-20260108-001,A2 SAS
inv-1767842689910-mhvcyspek,Papel aluminio El Sol (16 m),desechables,1,Unidad,6300,6300,2026-01-08,A2SAS-20260108-001,A2 SAS
inv-1767842689911-mk0scroy5,Pitillo biodegradable x 250 und,desechables,1,Unidad,5400,5400,2026-01-08,A2SAS-20260108-001,A2 SAS
inv-1767842689910-r2vr5l6nj,Tapabocas sujeción 2QY,productos de limpieza / bioseguridad,1,Unidad,500,500,2026-01-08,A2SAS-20260108-001,A2 SAS
inv-1767843024085-kzyqebvls,Baguette,acompañantes,1,Unidad,7800,7800,2026-01-08,EXITO-20260108-001,Éxito
inv-1767843024085-96v4hbnfp,Bolsa papel Éxito,desechables,1,Unidad,600,600,2026-01-08,EXITO-20260108-001,Éxito
inv-1767843024081-89vbm55xd,Corazón hojaldra,acompañantes,1,Unidad,14900,14900,2026-01-08,EXITO-20260108-001,Éxito
inv-1767843024085-eg4rvgtv0,Galleta Liberal Guayaba,acompañantes,4,Unidad,2300,9200,2026-01-08,EXITO-20260108-001,Éxito
inv-1767843024085-hi1mtri0d,Limón Tahití,acompañantes,1,Unidad,1678,1678,2026-01-08,EXITO-20260108-001,Éxito
inv-1767843024085-3vzrruczr,Mayonesa D&P,acompañantes,1,Unidad,16700,16700,2026-01-08,EXITO-20260108-001,Éxito
inv-1767843024085-23bxb1c4b,Salsa de tomate,acompañantes,1,Unidad,8640,8640,2026-01-08,EXITO-20260108-001,Éxito
inv-1767843024085-il4gf6m88,Tomate cherry,acompañantes,1,Unidad,4225,4225,2026-01-08,EXITO-20260108-001,Éxito
inv-1767845038185-bxjmci9tz,Fabuloso,productos de limpieza / bioseguridad,1,Unidad,3000,3000,2026-01-08,TIENDAESQUIN-20260108-001,Tienda esquina
inv-1767845037407-4i575yujh,Limpido,productos de limpieza / bioseguridad,1,Unidad,2000,2000,2026-01-08,TIENDAESQUIN-20260108-001,Tienda esquina
inv-1767845038584-ar3qdmdwi,Papel higiénico,productos de limpieza / bioseguridad,1,Unidad,2000,2000,2026-01-08,TIENDAESQUIN-20260108-001,Tienda esquina
inv-1767751844829-0e9objdc2,Leche Colácteos ,insumos para café,1,Unidad,5000,5000,2026-01-07,TIENDAESQUIN-20260107-001,Tienda esquina 
inv-1767842433593-gh2bglh3w,Aguardiente Nariño,licores,1,Botella,48000,48000,2026-01-06,ALKOSTO-20260106-001,Alkosto
inv-1767842433593-eqs9zytua,Ginebra,licores para shots,1,Botella,64500,64500,2026-01-06,ALKOSTO-20260106-001,Alkosto
inv-1767842433593-7odfezdjy,Jamón,acompañantes,2,Unidad,13000,26000,2026-01-06,ALKOSTO-20260106-001,Alkosto
inv-1767842433594-4p1mkpoxn,Queso,acompañantes,1,Unidad,14000,14000,2026-01-06,ALKOSTO-20260106-001,Alkosto
inv-1767842433594-ivabna4wj,Tomates,acompañantes,1,Unidad,4000,4000,2026-01-06,ALKOSTO-20260106-001,Alkosto
inv-1767842433563-tmr514z8b,Vodka,licores para shots,1,Botella,70500,70500,2026-01-06,ALKOSTO-20260106-001,Alkosto
inv-1767998047098-dw31jifhe,Jamón de cerdo sánduche,acompañantes,1,Unidad,7650,7650,2026-01-06,CARNESSEBASTIAN-20260106-001,Carnes del Sebastián
inv-1767998048468-cu3r5lzgd,Queso doble crema Colácteos,acompañantes,1,Unidad,12400,12400,2026-01-06,CARNESSEBASTIAN-20260106-001,Carnes del Sebastián
inv-1767665578949-tetvpdjx3,Pulpas de fruta para cócteles,siropes y bases,1,Unidad,13000,13000,2026-01-06,TIENDAESQUINA-20260106-001,La tienda de la esquina
inv-1767665578906-3zcto1go9,Queso mozzarella,insumos para café,1,Unidad,7000,7000,2026-01-06,TIENDAESQUINA-20260106-001,La tienda de la esquina
inv-1767636242812-x85xirex1,Frutas para hervidos,insumos para café,2,Libra,6500,13000,2026-01-05,EXITO-20260105-001,Éxito
inv-1767636242812-577hmamt7,Recipientes plásticos,activos,3,Unidad,2000,6000,2026-01-05,EXITO-20260105-001,Éxito
inv-1767845123931-jbplf05ef,Tapper pequeño x 330 U,desechables,1,Unidad,2200,2200,2026-01-05,GRUPOEMPRESA-20260105-001,Grupo Empresarial A2 SAS
inv-1767845124501-hlkw7nphf,Tapper pequeño x 330 U,desechables,1,Unidad,2200,2200,2026-01-05,GRUPOEMPRESA-20260105-001,Grupo Empresarial A2 SAS
inv-1767845124746-d3fz1z85b,Tapper pequeño x 330 U,desechables,1,Unidad,2200,2200,2026-01-05,GRUPOEMPRESA-20260105-001,Grupo Empresarial A2 SAS
